34 	27/10/1996 	13 	15 	17 	40 	53 	57 	0,00 	0 	0,00 	51 	13.604,06 	2627 	264,11 	SIM 	832.568,20 	0,00 	0,00
35 	03/11/1996 	04 	16 	21 	23 	54 	57 	0,00 	0 	0,00 	39 	20.051,18 	3576 	218,68 	SIM 	1.770.963,49 	0,00 	0,00
36 	10/11/1996 	03 	13 	17 	25 	29 	51 	0,00 	0 	0,00 	143 	6.238,12 	8548 	104,36 	SIM 	2.841.425,78 	0,00 	0,00
37 	17/11/1996 	06 	07 	22 	38 	52 	60 	0,00 	0 	0,00 	47 	16.848,61 	3695 	214,32 	SIM 	3.791.687,26 	0,00 	0,00
38 	24/11/1996 	10 	42 	43 	45 	54 	55 	0,00 	0 	0,00 	24 	38.863,10 	1999 	466,59 	SIM 	4.910.944,53 	0,00 	0,00
39 	01/12/1996 	12 	16 	37 	45 	52 	56 	0,00 	0 	0,00 	73 	13.459,05 	4444 	221,09 	SIM 	13.456.111,33 	0,00 	0,00
40 	08/12/1996 	03 	05 	08 	12 	46 	47 	0,00 	0 	0,00 	189 	7.789,93 	12117 	121,51 	SIM 	15.222.867,04 	0,00 	0,00
41 	15/12/1996 	12 	26 	35 	38 	39 	47 	0,00 	1 	17.019.238,50 	148 	10.114,70 	10182 	147,03 	NÃO 	0,00 	0,00 	0,00
42 	22/12/1996 	07 	11 	19 	24 	33 	36 	0,00 	0 	0,00 	201 	3.684,64 	9580 	77,31 	SIM 	888.735,02 	0,00 	0,00
43 	29/12/1996 	02 	06 	17 	25 	26 	58 	0,00 	0 	0,00 	75 	9.738,03 	5070 	144,06 	SIM 	1.765.157,22 	0,00 	0,00
44 	05/01/1997 	14 	18 	29 	38 	44 	47 	0,00 	0 	0,00 	103 	7.099,32 	7742 	94,45 	SIM 	2.642.633,14 	0,00 	0,00
45 	12/01/1997 	07 	30 	37 	44 	53 	55 	0,00 	0 	0,00 	33 	27.201,47 	3004 	298,82 	SIM 	3.719.811,46 	0,00 	0,00
46 	19/01/1997 	01 	23 	24 	32 	46 	60 	0,00 	0 	0,00 	91 	9.982,42 	6263 	145,04 	SIM 	4.809.891,56 	0,00 	0,00
47 	26/01/1997 	03 	17 	25 	35 	48 	56 	0,00 	0 	0,00 	210 	4.458,44 	10873 	85,94 	SIM 	5.933.418,51 	0,00 	0,00
48 	02/02/1997 	02 	05 	28 	34 	47 	50 	0,00 	0 	0,00 	132 	7.482,95 	7454 	132,25 	SIM 	7.118.717,38 	0,00 	0,00
49 	09/02/1997 	07 	13 	33 	35 	43 	55 	0,00 	1 	8.405.156,76 	155 	6.916,34 	9830 	108,85 	NÃO 	0,00 	0,00 	0,00
50 	16/02/1997 	06 	16 	21 	44 	57 	58 	0,00 	0 	0,00 	31 	25.241,25 	2800 	278,91 	SIM 	8.917.830,39 	0,00 	0,00
51 	23/02/1997 	17 	23 	24 	25 	42 	47 	0,00 	0 	0,00 	143 	7.231,47 	9361 	110,25 	SIM 	10.158.749,73 	0,00 	0,00
52 	02/03/1997 	15 	30 	38 	46 	58 	59 	0,00 	0 	0,00 	77 	15.544,23 	6442 	185,43 	SIM 	11.595.036,71 	0,00 	0,00
53 	09/03/1997 	03 	13 	16 	38 	42 	46 	0,00 	0 	0,00 	210 	6.337,79 	10941 	121,41 	SIM 	13.192.159,46 	0,00 	0,00
54 	16/03/1997 	05 	09 	18 	21 	36 	56 	0,00 	2 	7.469.653,99 	207 	7.033,61 	13067 	111,20 	NÃO 	0,00 	0,00 	0,00
55 	23/03/1997 	02 	14 	23 	29 	38 	52 	0,00 	0 	0,00 	66 	10.817,63 	3840 	185,56 	SIM 	856.756,39 	0,00 	0,00
56 	30/03/1997 	02 	07 	20 	35 	51 	59 	0,00 	0 	0,00 	48 	12.142,20 	2599 	223,81 	SIM 	1.556.147,46 	0,00 	0,00
57 	06/04/1997 	07 	16 	17 	27 	34 	59 	0,00 	0 	0,00 	79 	10.699,10 	6173 	136,65 	SIM 	2.570.421,80 	0,00 	0,00
58 	13/04/1997 	12 	27 	30 	37 	44 	49 	0,00 	1 	3.631.304,91 	65 	13.601,07 	5040 	175,06 	NÃO 	0,00 	0,00 	0,00
59 	20/04/1997 	02 	08 	13 	28 	34 	54 	0,00 	0 	0,00 	90 	7.312,34 	5351 	122,75 	SIM 	789.733,42 	0,00 	0,00
60 	27/04/1997 	03 	14 	15 	20 	21 	38 	0,00 	0 	0,00 	129 	7.111,47 	7914 	115,69 	SIM 	9.478.249,26 	0,00 	0,00
61 	04/05/1997 	08 	18 	29 	42 	44 	59 	0,00 	0 	0,00 	52 	18.902,94 	3866 	253,76 	SIM 	10.657.792,45 	0,00 	0,00
62 	11/05/1997 	06 	08 	13 	24 	31 	52 	0,00 	0 	0,00 	119 	9.968,70 	8613 	137,46 	SIM 	12.081.323,45 	0,00 	0,00
